CSN U12 Masculin;2025-2026;;;;;;;
id;weekday;date;time;home team;away team;arena;score;attendance
1;Sunday;2026-06-28;07:45:00;ABC Hoopers Ploiesti Mov;ACS Academia de Baschet Arad;Terenul 1 Schitu;37-38;
4;Sunday;2026-06-28;07:45:00;ACS Fireballs Sibiu Albastru;ASBC Fan Baschet Otopeni Galben;Terenul 1;38-28;
2;Sunday;2026-06-28;07:45:00;ABC Play Bucuresti 1;CS Vest Activ Timisoara Galben;Terenul FRB;50-25;
1;Sunday;2026-06-28;07:45:00;ABC Hoopers Ploiesti Auriu;ABC Slam Bucuresti Rosu;Terenul 2 Schitu;67-8;
6;Sunday;2026-06-28;07:45:00;CS Steaua Magic 2008 Bucuresti;ACS U-BT Cluj-Napoca Rosu;Terenul Mera Resort;19-68;
5;Sunday;2026-06-28;07:45:00;ACS Jaguarii Bucuresti;ACS Supreme Constanta;Terenul Paula;33-24;
3;Sunday;2026-06-28;07:45:00;CSM VSKC Miercurea Ciuc;ACS Dan Dacian Bucuresti Rosu;Terenul Lino;30-28;
4;Sunday;2026-06-28;07:45:00;ABC Laguna Bucuresti Alb;ACS Educatie si Performanta prin Baschet Bucuresti;Terenul CloudPerform;34-37;
4;Sunday;2026-06-28;07:45:00;CSS Nr 6 Bucuresti 2;ACS Gladius Lucky Dragons Targu Mures;Terenul Linksoft;12-52;
4;Sunday;2026-06-28;07:45:00;ACS Genial Baschet 22 Bucuresti;CS Otopeni;Terenul Eugenia;8-34;
2;Sunday;2026-06-28;07:45:00;ACS Ingerasii din Banie Craiova;CSS Targoviste;Terenul BCR;25-71;
2;Sunday;2026-06-28;08:45:00;ABC Shooting Stars Buftea;CSM Constanta;Terenul Mera Resort;24-74;
3;Sunday;2026-06-28;08:45:00;ACS Bedene Baschet Valenii de Munte;CS Concordia Chiajna;Terenul FRB;44-23;
5;Sunday;2026-06-28;08:45:00;ACS U-BT Cluj-Napoca Gri;CN Teodor Nes Salonta;Terenul Eugenia;61-29;
3;Sunday;2026-06-28;08:45:00;CSS Sighetu Marmatiei;ACS Cuza Pirates Braila;Terenul 2 Schitu;47-6;
3;Sunday;2026-06-28;08:45:00;CSS Tulcea;ACS Dan Dacian Bucuresti Albastru;Terenul 1 Schitu;33-35;
5;Sunday;2026-06-28;08:45:00;CSM Vaslui;ACS Pro Basketball Group Bucuresti;Terenul Linksoft;40-54;
1;Sunday;2026-06-28;08:45:00;ABC Laguna Bucuresti Negru;ACS Baller Bucuresti 2;Terenul Paula;3-49;
5;Sunday;2026-06-28;08:45:00;ACS Kids Tampa 2015 Brasov;ACS Templiers Academy Galati 1;Terenul 1;17-74;
3;Sunday;2026-06-28;08:45:00;ACS Cormoran Constanta Alb;CS Valcea 1924 Ramnicu Valcea Rosu;Terenul BCR;22-70;
5;Sunday;2026-06-28;08:45:00;CSM Ploiesti;ACS Madmax Iasi;Terenul CloudPerform;42-36;
4;Sunday;2026-06-28;08:45:00;CSS Ramnicu Valcea;ACS CS Heart Drobeta Turneu Severin 1;Terenul Lino;31-63;
6;Sunday;2026-06-28;09:45:00;CS Perform Medias;ACS U-BT Cluj-Napoca Mov;Terenul Linksoft;46-32;
1;Sunday;2026-06-28;09:45:00;ABC Laguna Bucuresti Gri;ACS Baller Bucuresti 1;Terenul 1;20-40;
2;Sunday;2026-06-28;09:45:00;ABC Slam Bucuresti Mov;CSM Corona Brasov;Terenul Eugenia;37-20;
4;Sunday;2026-06-28;09:45:00;CSS Nr 1 Constanta;ACS For You Buzau;Terenul 1 Schitu;15-47;
3;Sunday;2026-06-28;09:45:00;ACS Cristina Ciocan Resita;CS Magic Champions Bucuresti Albastru;Terenul Mera Resort;16-41;
4;Sunday;2026-06-28;09:45:00;ACS Energy Basketball Academy Targu Jiu Albastru;ACS Wolf Pack Bucuresti;Terenul FRB;26-25;
5;Sunday;2026-06-28;09:45:00;CSO Voluntari;ACS SB Horatiu Giurgiu Bucuresti 2;Terenul Lino;24-17;
4;Sunday;2026-06-28;09:45:00;ACS Dan Dacian Bucuresti Portocaliu;ASBC Valbon Arad;Terenul BCR;66-33;
3;Sunday;2026-06-28;09:45:00;CSU Andu Sibiu Negru;ACS Deceneu Tulcea 1;Terenul Paula;41-30;
4;Sunday;2026-06-28;09:45:00;CSS Medias;CS Fly OC Constanta;Terenul 2 Schitu;18-26;
6;Sunday;2026-06-28;09:45:00;CS MP Sport Timisoara;ACS Total Sport Bucuresti;Terenul CloudPerform;19-45;
2;Sunday;2026-06-28;10:45:00;ABC Leii Bucuresti;CS Vest Activ Timisoara Albastru;Terenul CloudPerform;30-38;
1;Sunday;2026-06-28;10:45:00;CSU Andu Sibiu Alb;CSS Giurgiu;Terenul Mastercard;44-67;
5;Sunday;2026-06-28;10:45:00;ACS SB Horatiu Giurgiu Bucuresti 1;ACS U-BT Cluj-Napoca Negru;Terenul BCR;23-43;
3;Sunday;2026-06-28;10:45:00;ACS Cruisers Constanta;CS Miandra 2008 Buzau;Terenul Eugenia;18-33;
6;Sunday;2026-06-28;10:45:00;CS Sport Star Timisoara;ACS U-BT Cluj-Napoca Portocaliu;Terenul Lino;14-50;
1;Sunday;2026-06-28;10:45:00;ABC Hoops Brasov Negru;CSS Unirea Iasi;Terenul Linksoft;59-20;
5;Sunday;2026-06-28;10:45:00;CSM Ploiesti;ACS Primo Megaball Pitesti Alb;Terenul 1 Schitu;69-18;
