CSN U12 Masculin;2025-2026;;;;;;;
id;weekday;date;time;home team;away team;arena;score;attendance
6;Sunday;2026-06-28;16:30:00;CS Sport Star Timisoara;ACS Champions Bucuresti;Terenul BT;0-0;
6;Sunday;2026-06-28;16:30:00;CSS Targoviste;ACS Cormoran Constanta Alb;Terenul Brenntag;0-0;
11;Sunday;2026-06-28;16:30:00;ACS Total Sport Bucuresti;CSM Ploiesti;Terenul Exim Banca Romaneasca;0-0;
7;Sunday;2026-06-28;16:30:00;ACS Deceneu Tulcea 1;ABC Laguna Bucuresti Negru;Terenul H2On;0-0;
7;Sunday;2026-06-28;16:30:00;ACS Wolf Pack Bucuresti;ACS Juniors Craiova;Terenul BCR;0-0;
10;Sunday;2026-06-28;16:30:00;ABC Best Arad;ABC Play Bucuresti 2;Terenul CloudPerform;0-0;
6;Sunday;2026-06-28;16:30:00;CSM Constanta;ACS Cristina Ciocan Resita;Terenul Lino;0-0;
10;Sunday;2026-06-28;16:30:00;ACS SB Horatiu Giurgiu Bucuresti 2;CSS Ramnicu Valcea;Terenul Linksoft;0-0;
9;Sunday;2026-06-28;16:30:00;ACS Gladius Lucky Dragons Targu Mures;CSS Viitorul Cluj-Napoca;Terenul 1 Schitu;0-0;
12;Sunday;2026-06-28;16:30:00;ASBC Alpha Bucuresti Negru;CS MP Sport Timisoara;Terenul Mastercard;0-0;
7;Sunday;2026-06-28;16:30:00;CS Otopeni;ACS U-BT Cluj-Napoca Gri;Terenul 2 Schitu;0-0;
7;Sunday;2026-06-28;17:30:00;ACS U-BT Cluj-Napoca Alb;ACS Energy Basketball Academy Targu Jiu Alb;Terenul BT;0-0;
7;Sunday;2026-06-28;17:30:00;ASBC Valbon Arad;ACS SB Horatiu Giurgiu Bucuresti 1;Terenul Brenntag;0-0;
12;Sunday;2026-06-28;17:30:00;ACS Vikings Basketball Academy Iasi;CS MP Sport Timisoara;Terenul Exim Banca Romaneasca;0-0;
9;Sunday;2026-06-28;17:30:00;ACS Ingerasii din Banie Craiova;CSU Andu Sibiu Negru;Terenul H2On;0-0;
8;Sunday;2026-06-28;17:30:00;CS Concordia Chiajna;ACS Energy Basketball Academy Targu Jiu Albastru;Terenul BCR;0-0;
7;Sunday;2026-06-28;17:30:00;ACS Dan Dacian Bucuresti Verde;ABC Laguna Bucuresti Gri;Terenul CloudPerform;0-0;
7;Sunday;2026-06-28;17:30:00;ASBC Fan Baschet Otopeni Mov;ACS Mambra Sport Timisoara;Terenul Lino;0-0;
11;Sunday;2026-06-28;17:30:00;ACS U-BT Cluj-Napoca Portocaliu;CSO Voluntari;Terenul Linksoft;0-0;
10;Sunday;2026-06-28;17:30:00;ACS Pro Basketball Group Bucuresti;CSS Nr 6 Bucuresti 2;Terenul 1 Schitu;0-0;
6;Sunday;2026-06-28;17:30:00;CSM Corona Brasov;ACS Cruisers Constanta;Terenul Mastercard;0-0;
12;Sunday;2026-06-28;17:30:00;ASBC Valbon Arad;CS Muresul Targu Mures;Terenul Eugenia;0-0;
8;Sunday;2026-06-28;17:30:00;CSM Ramnicu Sarat;ACS Genial Baschet 22 Bucuresti;Terenul 2 Schitu;0-0;
8;Sunday;2026-06-28;18:30:00;ASBC Alpha Bucuresti Alb;ACS Dan Dacian Bucuresti Negru;Terenul BT;0-0;
8;Sunday;2026-06-28;18:30:00;CS Valcea 1924 Ramnicu Valcea Rosu;ACS Dan Dacian Bucuresti Portocaliu;Terenul Brenntag;0-0;
6;Sunday;2026-06-28;18:30:00;CS Vest Activ Timisoara Albastru;ACS BC Lions Craiova;Terenul Exim Banca Romaneasca;0-0;
10;Sunday;2026-06-28;18:30:00;ACS Star 2010 Tragu Jiu;CSS Sibiu;Terenul H2On;0-0;
10;Sunday;2026-06-28;18:30:00;A Solaris Sporting Club Ploiesti 2;ABC Play Bucuresti 1;Terenul BCR;0-0;
9;Sunday;2026-06-28;18:30:00;ACS CS Heart Drobeta Turneu Severin 2;CSU Andu Sibiu Albastru;Terenul CloudPerform;0-0;
8;Sunday;2026-06-28;18:30:00;CS Magic Champions Bucuresti Albastru;ACS Fireballs Sibiu Galben;Terenul Lino;0-0;
12;Sunday;2026-06-28;18:30:00;CS Axiopolis Cernavoda;CS Sport Star Timisoara;Terenul Linksoft;0-0;
11;Sunday;2026-06-28;18:30:00;ACS U-BT Cluj-Napoca Mov;CSM Vaslui;Terenul 1 Schitu;0-0;
7;Sunday;2026-06-28;18:30:00;AS Pandurii Targoviste;ACS MC Ball Mangalia;Terenul Mastercard;0-0;
7;Sunday;2026-06-28;18:30:00;ACS Cuza Pirates Braila;ABC Hoopers Ploiesti Auriu;Terenul Eugenia;0-0;
9;Sunday;2026-06-28;18:30:00;CSS Unirea Iasi;CN Teodor Nes Salonta;Terenul 2 Schitu;0-0;
9;Sunday;2026-06-28;19:30:00;CSS Giurgiu;ACS Primo Mega Ball Pitesti 1;Terenul BT;0-0;
10;Sunday;2026-06-28;19:30:00;ABC Rising Stars Popesti-Leordeni Albastru;ACS Ingerasii din Banie Craiova;Terenul Brenntag;0-0;
7;Sunday;2026-06-28;19:30:00;ACS Vilis Bucuresti;ACS Jaguarii Bucuresti;Terenul Exim Banca Romaneasca;0-0;
11;Sunday;2026-06-28;19:30:00;ACS Victoria Arad;CSS Gheorgheni;Terenul H2On;0-0;
6;Sunday;2026-06-28;19:30:00;CSM Alexandria;ACS Champions Bucuresti;Terenul BCR;0-0;
10;Sunday;2026-06-28;19:30:00;ACS Sedu Corunca;CSS Sfantu Gheorghe;Terenul CloudPerform;0-0;
10;Sunday;2026-06-28;19:30:00;ABC Blue Sharks Constanta;ABC Shooting Stars Buftea;Terenul Lino;0-0;
12;Sunday;2026-06-28;19:30:00;CS Amicii Pitesti;CS Perform Medias;Terenul 1 Schitu;0-0;
8;Sunday;2026-06-28;19:30:00;CS Miandra 2008 Buzau;ACS First Class Voluntari;Terenul Mastercard;0-0;
7;Sunday;2026-06-28;19:30:00;ACS Dan Dacian Bucuresti Albastru;ABC Hoopers Ploiesti Mov;Terenul Linksoft;0-0;
9;Sunday;2026-06-28;19:30:00;CS Fly OC Constanta;CSS Sighetu Marmatiei;Terenul Eugenia;0-0;
10;Sunday;2026-06-28;19:30:00;ABC Hoops Brasov Negru;ACS Academia de Baschet Phoenix Galati;Terenul 2 Schitu;0-0;
10;Sunday;2026-06-28;20:30:00;CSU Andu Sibiu Alb;ABC Slam Bucuresti Alb;Terenul BT;0-0;
7;Sunday;2026-06-28;20:30:00;ACS Cormoran Constanta Smarald;ABC Rising Stars Popesti Leordeni Negru;Terenul Brenntag;0-0;
9;Sunday;2026-06-28;20:30:00;ACS Educatie si Performanta prin Baschet Bucuresti;CSU Andu Sibiu Galben;Terenul BT;0-0;
8;Sunday;2026-06-28;20:30:00;CS Campina;ACS Deceneu Tulcea 2;Terenul Exim Banca Romaneasca;0-0;
12;Sunday;2026-06-28;20:30:00;CS BBB Raptors Berceni Negru;CS Tonika Pucioasa;Terenul H2On;0-0;
8;Sunday;2026-06-28;20:30:00;CS Magic Champions Bucuresti Alb;ACS Fireballs Sibiu Albastru;Terenul BCR;0-0;
11;Sunday;2026-06-28;20:30:00;ACS U-BT Cluj-Napoca Rosu;CSS Focsani;Terenul CloudPerform;0-0;
7;Sunday;2026-06-28;20:30:00;ACS Dan Dacian Bucuresti Rosu;ABC Laguna Bucuresti Albastru;Terenul Lino;0-0;
10;Sunday;2026-06-28;20:30:00;ABC Evolution Bucuresti Otopeni;ABC Slam Bucuresti Mov;Terenul Mastercard;0-0;
9;Sunday;2026-06-28;20:30:00;ACS For You Buzau;CSS Tulcea;Terenul Linksoft;0-0;
10;Sunday;2026-06-28;20:30:00;ACS Phoenix Suceava;CSS Medias;Terenul Eugenia;0-0;
;;;;;;;;
13;Monday;2026-06-29;07:45:00;ACS Dan Dacian Bucuresti Negru;CS Sport Star Timisoara;Terenul Exim Banca Romaneasca;0-0;
11;Monday;2026-06-29;07:45:00;ACS SB Horatiu Giurgiu Bucuresti 1;CS Valcea 1924 Ramnicu Valcea Rosu;Terenul CloudPerform;0-0;
13;Monday;2026-06-29;07:45:00;ABC Rising Stars Popesti Leordeni Negru;ACS Educatie si Performanta prin Baschet Bucuresti;Terenul Brenntag;0-0;
15;Monday;2026-06-29;07:45:00;ACS Supreme Constanta;ACS Vilis Bucuresti;Terenul BT;0-0;
11;Monday;2026-06-29;07:45:00;ACS Juniors Craiova;CS Concordia Chiajna;Terenul Mastercard;0-0;
13;Monday;2026-06-29;07:45:00;ACS Fireballs Sibiu Albastru;CSM Alexandria;Terenul Paula;0-0;
13;Monday;2026-06-29;07:45:00;ABC Laguna Bucuresti Gri;ACS CS Heart Drobeta Turneu Severin 2;Terenul 2 Schitu;0-0;
13;Monday;2026-06-29;07:45:00;ABC Laguna Bucuresti Albastru;ACS CS Heart Drobeta Turneu Severin 1;Terenul 1 Schitu;0-0;
16;Monday;2026-06-29;07:45:00;CSS Viitorul Cluj-Napoca;ACS Pro Basketball Group Bucuresti;Terenul Mera Resort;0-0;
18;Monday;2026-06-29;07:45:00;CSM Ploiesti;ASBC Valbon Arad;Terenul FRB;0-0;
14;Monday;2026-06-29;07:45:00;ABC Slam Bucuresti Rosu;ACS Cuza Pirates Braila;Terenul 1;0-0;
14;Monday;2026-06-29;07:45:00;ACS Academia de Baschet Phoenix Galati;CSS Unirea Iasi;Terenul Lino;0-0;
14;Monday;2026-06-29;08:45:00;ABC Slam Bucuresti Alb;CSS Giurgiu;Terenul Exim Banca Romaneasca;0-0;
12;Monday;2026-06-29;08:45:00;ACS Cormoran Constanta Alb;ABC Rising Stars Popesti-Leordeni Albastru;Terenul CloudPerform;0-0;
13;Monday;2026-06-29;08:45:00;ABC Laguna Bucuresti Negru;ACS Ingerasii din Banie Craiova;Terenul BT;0-0;
12;Monday;2026-06-29;08:45:00;ACS Bedene Baschet Valenii de Munte;A Solaris Sporting Club Ploiesti 2;Terenul Brenntag;0-0;
15;Monday;2026-06-29;08:45:00;ACS Templiers Academy Galati 1;ASBC Fan Baschet Otopeni Galben;Terenul Paula;0-0;
14;Monday;2026-06-29;08:45:00;ACS Baller Bucuresti 1;ACS Dan Dacian Bucuresti Verde;Terenul 2 Schitu;0-0;
11;Monday;2026-06-29;08:45:00;ACS Mambra Sport Timisoara;CS Magic Champions Bucuresti Albastru;Terenul FRB;0-0;
14;Monday;2026-06-29;08:45:00;ACS AS 30 Bucuresti;ACS Dan Dacian Bucuresti Rosu;Terenul 1 Schitu;0-0;
17;Monday;2026-06-29;08:45:00;CSS Nr 6 Bucuresti 2;ACS U-BT Cluj-Napoca Mov;Terenul Mera Resort;0-0;
16;Monday;2026-06-29;08:45:00;CSS Sighetu Marmatiei;ACS Phoenix Suceava;Terenul 1;0-0;
15;Monday;2026-06-29;08:45:00;CN Teodor Nes Salonta;CS Otopeni;Terenul Lino;0-0;
15;Monday;2026-06-29;09:45:00;ACS Primo Mega Ball Pitesti 1;ACS U-BT Cluj-Napoca Alb;Terenul Exim Banca Romaneasca;0-0;
13;Monday;2026-06-29;09:45:00;ACS Dan Dacian Bucuresti Portocaliu;CSS Targoviste;Terenul CloudPerform;0-0;
14;Monday;2026-06-29;09:45:00;ACS Baschet Team Giurgiu;ACS Cormoran Constanta Smarald;Terenul Brenntag;0-0;
